IssuerCompany,Subsector,Sector
20 Microns Limited,Mining & Minerals,Metals & Mining
A2Z Maintenance & Engineering Services Ltd,Power - Transmission & Equipment,Power
Accel Frontline Limited,Computers - Software Medium & Small,Computers
Acropetal Technologies Ltd,Computers - Software,Computers
Action Construction Equipment Ltd,Engineering - Heavy,Infrastructure
Adani Power Limited,Power - Generation & Distribution,Power
Adlabs Entertainment Ltd,Miscellaneous,Miscellaneous
Advanta India Limited,Miscellaneous,Miscellaneous
Aishwarya Telecom Limited,Telecommunications - Equipment,Media & Communication
Akruti Nirman Limited,Castings & Forgings,Manufacturing
Alkali Metals Limited,Chemicals,Manufacturing
Alkem Laboratories Limited,Pharmaceuticals,Medical
Allied Digital Services Limited,Computers - Software Medium & Small,Computers
Alpa Laboratories Limited,Textiles - Weaving,Lifestyle
AMD Metplast Limited,Packaging,Manufacturing
AMD Metplast Limited,Packaging,Manufacturing
Ankit Metal & Power Ltd,Steel - Sponge Iron,Metals & Mining
Archidply Industries Ltd,Miscellaneous,Miscellaneous
Aries Agro Limited,Miscellaneous,Miscellaneous
ARSS Infrastructure Projects Ltd,Construction & Contracting - Civil,Infrastructure
Asahi Songwon Colors Ltd,Dyes & Pigments,Manufacturing
Ashoka Buildcon Ltd,Construction & Contracting - Civil,Infrastructure
Asian Granito India Ltd,Ceramics & Granite,Infrastructure
Astec LifeSciences Limited,Pharmaceuticals,Medical
Aster Silicates Ltd,Pharmaceuticals,Medical
Astral Poly Technik Limited,Plastics,Manufacturing
Atlanta Limited,Construction & Contracting - Civil,Infrastructure
Autoline Industries Limited,Auto Ancillaries,Manufacturing
Bafna Pharmaceuticals Limited,Pharmaceuticals,Medical
Bajaj Corp Limited,Personal Care,Lifestyle
Bang Overseas Limited,Textiles - General,Lifestyle
Barak Valley Cements Ltd,Textiles - Spinning - Synthetic Blended,Lifestyle
Bedmutha Industries Ltd,Steel - Medium & Small,Metals & Mining
BEML LTD (Bharat Earth Movers Ltd),Infrastructure - General,Infrastructure
BGR Energy Systems Limited,Infrastructure - General,Infrastructure
Bhagwati Banquets And Hotels Ltd,Castings & Forgings,Manufacturing
Bharat Wire Ropes Ltd,Engineering,Manufacturing
Bharatiya Global Infomedia Ltd,Miscellaneous,Miscellaneous
Bharti Infratel Limited,Telecommunications - Equipment,Media & Communication
Birla Cotsyn (India) Limited,Textiles - Spinning - Synthetic Blended,Lifestyle
Birla Shloka Edutech Limited,Computers - Hardware,Computers
Brigade Enterprises Limited,Construction & Contracting - Real Estate,Infrastructure
Broadcast Initiatives Limited,Media & Entertainment,Media & Communication
Brooks Laboratories Ltd,Construction & Contracting - Civil,Infrastructure
Burnpur Cement Limited,Cement - Major,Infrastructure
C & C Constructions Limited,Construction & Contracting - Civil,Infrastructure
Cairn India Ltd,Oil Drilling And Exploration,Metals & Mining
Cambridge Technology Enterprises Ltd,Computers - Software Medium & Small,Computers
Cantabil Retail India Ltd,Retail,Lifestyle
Career Point Infosystems Ltd,Computers - Software - Training,Computers
Celestial Labs Limited,Pharmaceuticals,Medical
Central Bank of India,Banks - Public Sector,Finance
Cinemax India Ltd,Media & Entertainment,Media & Communication
Claris Lifesciences Limited,Pharmaceuticals,Medical
Coal India Limited,Mining & Minerals,Metals & Mining
Coffee Day Enterprises Ltd,Food Processing,Food & Beverages
Commercial Engineers & Body Builders Co Ltd,Engineering,Manufacturing
Consolidated Construction Consortium Ltd,Miscellaneous,Miscellaneous
Cords Cable Industries Limited,Cables - Power & Others,Manufacturing
Cox and Kings (India) Limited,Miscellaneous,Miscellaneous
Credit Analysis & Research Ltd,Trading,Miscellaneous
D B Corp Limited,Electrodes & Graphite,Manufacturing
D B Realty Limited,Electrodes & Graphite,Infrastructure
Deep Industries Ltd,Oil Drilling And Exploration,Metals & Mining
Den Networks Limited,Media & Entertainment,Media & Communication
Development Credit Bank Ltd,Pharmaceuticals,Medical
DLF Limited,Construction & Contracting - Real Estate,Infrastructure
DQ Entertainment (International) Ltd,Media & Entertainment,Media & Communication
Dr. Lal PathLabs Limited,Pharmaceuticals,Medical
eClerx Services Limited,Computers - Software Medium & Small,Computers
Edelweiss Capital Limited,Finance - General,Finance
Electrosteel Integrated Ltd,Castings & Forgings,Manufacturing
Emmbi Polyarns Limited,Packaging,Manufacturing
Empee Distilleries Limited,Breweries & Distilleries,Lifestyle
Engineers India Limited,Power - Generation & Distribution,Power
Engineers India Ltd,Power - Generation & Distribution,Power
Equitas Holdings Limited,Finance - General,Finance
Eros International Media Ltd,Finance - General,Finance
Ess Dee Aluminium Ltd,Packaging,Manufacturing
Euro Ceramics Limited,Ceramics & Granite,Infrastructure
Euro Multivision Limited,Leather Products,Manufacturing
Everonn Systems India Limited,Computers - Software - Training,Computers
Excel Infoways Limited,Pesticides & Agro Chemicals,Manufacturing
Fiem Industries Limited,Auto Ancillaries,Manufacturing
Fineotex Chemical Ltd,Chemicals,Manufacturing
First Winner Industries Limited,Textiles - General,Lifestyle
Firstsource Solutions Limited,Computers - Software Medium & Small,Computers
Flexituff International Ltd,Food Processing,Food & Beverages
Fortis Healthcare Ltd,Hospitals & Medical Services,Medical
Future Capital Holdings Ltd,Miscellaneous,Miscellaneous
Future Ventures India Ltd,Retail,Lifestyle
Gallantt Ispat Ltd,Steel - Sponge Iron,Metals & Mining
Gammon Infrastructure Projects Ltd,Construction & Contracting - Civil,Infrastructure
Gayatri Projects Limited,Construction & Contracting - Civil,Infrastructure
