"","IssuerCompany","IssueOpenDate","IssueCloseDate","IssuePrice","IssueType","IssueSize","IPOYear"
"1","Autoline Industries Limited",2007-01-08,2007-01-12,225,"BB",75,2007
"2","Akruti Nirman Limited",2007-01-15,2007-01-19,540,"BB",361.8,2007
"3","Global Broadcast News Ltd",2007-01-15,2007-01-18,250,"BB",105,2007
"4","Pochiraju Industries Limited",2007-01-15,2007-01-18,30,"BB",37.6,2007
"5","Yogindera Worsted Limited",2007-01-16,2007-01-22,24,"FP",NA,2007
"6","House of Pearl Fashions Ltd",2007-01-16,2007-01-23,550,"BB",329.17,2007
"7","Technocraft Industries (India) Ltd",2007-01-18,2007-01-23,105,"BB",87.36,2007
"8","Cinemax India Ltd",2007-01-18,2007-01-24,155,"BB",138.26,2007
"9","Redington (India) Limited",2007-01-22,2007-01-25,113,"BB",149.51,2007
"10","Transwarranty Finance Ltd",2007-01-23,2007-02-02,52,"BB",31.2,2007
"11","Firstsource Solutions Limited",2007-01-29,2007-02-02,64,"BB",443.52,2007
"12","Power Finance Corporation Ltd.",2007-01-31,2007-02-06,85,"BB",997.19,2007
"13","SMS Pharmaceuticals Limited",2007-02-05,2007-02-08,380,"BB",97.93,2007
"14","Lawreshwar Polymers Ltd",2007-02-05,2007-02-08,16,"FP",13.94,2007
"15","C & C Constructions Limited",2007-02-05,2007-02-09,291,"BB",124.24,2007
"16","Indian Bank",2007-02-05,2007-02-09,91,"BB",782.15,2007
"17","Euro Ceramics Limited",2007-02-07,2007-02-13,165,"BB",92.75,2007
"18","Mudra Lifestyle Limited",2007-02-08,2007-02-14,90,"BB",86.22,2007
"19","Vijayeswari Textiles Limited",2007-02-08,2007-02-19,100,"BB",90,2007
"20","Oriental Trimex Limited",2007-02-08,2007-02-14,48,"BB",48,2007
"21","MindTree Consulting Limited",2007-02-09,2007-02-14,425,"BB",237.72,2007
"22","Broadcast Initiatives Limited",2007-02-09,2007-02-14,120,"BB",102.6,2007
"23","Indus Fila Limited",2007-02-12,2007-02-14,170,"BB",82.34,2007
"24","Idea Cellular Limited",2007-02-12,2007-02-15,75,"BB",NA,2007
"25","Evinix Accessories Limited",2007-02-12,2007-02-15,120,"BB",42,2007
"26","Astral Poly Technik Limited",2007-02-14,2007-02-22,115,"FP",34.17,2007
"27","Raj Television Network Ltd",2007-02-14,2007-02-23,257,"BB",91.7,2007
"28","AMD Metplast Limited",2007-02-15,2007-02-23,75,"BB",76.25,2007
"29","Jagjanani Textiles Limited",2007-02-15,2007-02-23,25,"FP",20.25,2007
"30","Abhishek Mills Ltd",2007-02-20,2007-03-01,100,"BB",41,2007
"31","Tubeknit Fashions Limited",2007-02-21,2007-03-02,NA,"BB",NA,2007
"32","Page Industries Ltd (Jockey India)",2007-02-23,2007-02-27,360,"BB",100.94,2007
"33","Gremach Infrastructure Ltd",2007-03-08,2007-03-19,86,"BB",59,2007
"34","ICRA Limited",2007-03-20,2007-03-23,330,"BB",85.18,2007
"35","Orbit Corporation Limited",2007-03-20,2007-03-23,110,"BB",100.1,2007
"36","Advanta India Limited",2007-03-26,2007-03-30,650,"BB",216.32,2007
"37","Ammana Bio Pharma Limited",2007-03-28,2007-04-05,NA,"BB",NA,2007
"38","Fortis Healthcare Ltd",2007-04-16,2007-04-20,108,"BB",496.76,2007
"39","Bhagwati Banquets And Hotels Ltd",2007-04-18,2007-04-25,40,"BB",92,2007
"40","Hilton Metal Forging Ltd",2007-04-18,2007-04-24,70,"FP",38.15,2007
"41","MIC Electronics Limited",2007-04-30,2007-05-08,150,"BB",76.5,2007
"42","Binani Cement Limited",2007-05-07,2007-05-10,75,"BB",153.75,2007
"43","Insecticides India Ltd",2007-05-07,2007-05-11,115,"BB",36.92,2007
"44","Asahi Songwon Colors Ltd",2007-05-09,2007-05-15,90,"BB",33.5,2007
"45","Glory Polyfilms Ltd",2007-05-09,2007-05-15,48,"FP",39.46,2007
"46","Nitin Fire Protection Industries Ltd",2007-05-15,2007-05-18,190,"BB",64.41,2007
"47","Time Technoplast Limited",2007-05-18,2007-05-23,315,"BB",123.53,2007
"48","Decolight Ceramics Limited",2007-05-24,2007-05-29,54,"BB",43.45,2007
"49","Meghmani Organics Limited",2007-06-04,2007-06-07,19,"BB",102,2007
"50","Nelcast Limited",2007-06-04,2007-06-08,219,"BB",95.27,2007
"51","DLF Limited",2007-06-11,2007-06-14,525,"BB",NA,2007
"52","Vishal Retail Ltd",2007-06-11,2007-06-13,270,"BB",110,2007
"53","Archidply Industries Ltd",2007-06-11,2008-06-17,74,"BB",48.96,2007
"54","Roman Tarmat Limited",2007-06-12,2007-06-19,175,"BB",50.75,2007
"55","Celestial Labs Limited",2007-06-18,2007-06-22,60,"FP",30,2007
"56","Ankit Metal & Power Ltd",2007-06-18,2007-06-22,36,"BB",42.84,2007
"57","Suryachakra Power Corporation Ltd",2007-06-25,2007-06-29,20,"BB",68,2007
"58","Spice Communications Limited",2007-06-25,2007-06-27,46,"BB",520.31,2007
"59","Housing Development and Infrastructure Ltd",2007-06-28,2007-07-03,500,"BB",NA,2007
"60","Allied Digital Services Limited",2007-07-02,2007-07-05,190,"BB",85.93,2007
"61","Everonn Systems India Limited",2007-07-05,2007-07-11,140,"BB",50,2007
"62","Simplex Projects Limited",2007-07-10,2007-07-13,185,"BB",55.5,2007
"63","Alpa Laboratories Limited",2007-07-12,2007-07-17,68,"BB",64.6,2007
"64","Omaxe Limited",2007-07-17,2007-07-20,310,"BB",551.69,2007
"65","Omnitech InfoSolutions Limited",2007-07-19,2007-07-25,105,"BB",35,2007
"66","Zylog Systems Limited",2007-07-20,2007-07-25,350,"BB",126,2007
"67","IVR Prime Urban Developers Ltd",2007-07-23,2007-07-26,550,"BB",778.25,2007
"68","Refex Refrigerants Limited",2007-07-23,2007-07-26,65,"FP",24.7,2007
"69","Central Bank of India",2007-07-24,2007-07-27,102,"BB",816,2007
"70","Asian Granito India Ltd",2007-07-26,2007-07-31,97,"BB",67.9,2007
"71","SEL Manufacturing Company Ltd",2007-07-26,2007-07-31,90,"BB",37.25,2007
"72","Puravankara Projects Limited",2007-07-31,2007-08-08,400,"BB",858.7,2007
"73","TAKE Solutions Limited",2007-08-01,2007-08-07,730,"BB",153.3,2007
"74","K.P.R. Mill Limited",2007-08-02,2007-08-07,225,"BB",133.02,2007
"75","Motilal Oswal Financial Services Ltd",2007-08-20,2007-08-23,825,"BB",246.07,2007
"76","Indowind Energy Limited",2007-08-21,2007-08-24,65,"BB",81.25,2007
"77","Magnum Ventures Limited",2007-08-27,2007-08-30,30,"BB",52.92,2007
"78","Kaveri Seed Company Limited",2007-09-06,2007-09-11,170,"BB",68,2007
"79","Dhanus Technologies Limited",2007-09-10,2007-09-12,295,"BB",113.13,2007
"80","Power Grid Corporation of India Ltd.",2007-09-10,2007-09-13,52,"BB",NA,2007
"81","Koutons Retail India Limited",2007-09-18,2007-09-21,415,"BB",146.26,2007
"82","Consolidated Construction Consortium Ltd",2007-09-18,2007-09-21,510,"BB",188.7,2007
"83","Supreme Infrastructure India Ltd",2007-09-21,2007-09-26,108,"BB",37.53,2007
"84","Saamya Biotech India Ltd",2007-09-25,2007-09-28,10,"FP",15,2007
