"","IssuerCompany","OfficialRating","CapitalMarketRating","Subscribe","Avoid","Neutral"
"2","Parag Milk Foods Ltd",1,7,4,0,1
"3","Ujjivan Financial Services Ltd",1,9,6,0,0
"4","Thyrocare Technologies Ltd",1,8,6,0,0
"5","Equitas Holdings Limited",1,9,6,0,0
"6","Infibeam Incorporation Ltd",1,1,0,0,0
"7","Bharat Wire Ropes Ltd",1,1,0,0,0
"8","Healthcare Global Enterprises Ltd",1,5,1,1,0
"9","Quick Heal Technologies Ltd",1,8,1,0,0
"10","TeamLease Services Ltd",3,3,0,0,0
"11","Precision Camshafts Ltd",1,6,3,1,0
"12","Narayana Hrudayalaya Ltd",1,5,3,0,0
"13","Alkem Laboratories Limited",1,1,0,0,0
"14","Dr. Lal PathLabs Limited",1,1,0,0,0
"15","S H Kelkar & Company Ltd",1,9,2,0,0
"16","Interglobe Aviation Ltd",1,5,2,0,0
"17","Coffee Day Enterprises Ltd",1,5,3,4,1
"18","Sadbhav Infrastructure Project Limited",1,1,0,0,0
"19","Prabhat Dairy Limited",1,1,0,1,0
"20","Shree Pushkar Chemicals and Fertilisers Ltd",1,1,1,0,0
"21","Pennar Engineered Building Systems Ltd",1,4,0,0,0
"23","Navkar Corporation Limited",1,11,7,1,0
"24","Power Mech Projects Ltd",1,9,1,0,0
"25","Syngene International Ltd",1,14,8,1,0
"26","Manpasand Beverages Ltd",1,5,0,0,1
"27","PNC Infratech Limited",1,9,1,2,0
"28","UFO Moviez Ltd",1,6,5,0,0
"29","MEP Infrastructure Developers Ltd",1,1,0,0,0
"30","VRL Logistics Ltd",1,5,7,0,0
"31","Inox Wind Limited",1,9,2,0,0
"32","Adlabs Entertainment Ltd",1,5,4,2,0
"33","Ortel Communications Ltd",1,10,1,2,0
"34","NCML Industries Ltd",1,1,0,0,0
"35","Monte Carlo Fashions Limited",1,6,6,1,0
"36","Shemaroo Entertainment Ltd",1,12,5,1,0
"37","Sharda Cropchem Ltd",4,9,2,0,0
"38","Snowman Logistics Ltd",3,13,5,0,0
"39","Wonderla Holidays Ltd",3,5,2,0,0
