"","IssuerCompany","ListingDate","CurPrice"
"1","Ujjivan Financial Services Ltd",2016-05-10,243.3
"2","Thyrocare Technologies Ltd",2016-05-09,629.65
"3","Equitas Holdings Limited",2016-04-21,147.5
"4","Infibeam Incorporation Ltd",2016-04-04,498.5
"5","Bharat Wire Ropes Ltd",2016-04-01,44.4
"6","Healthcare Global Enterprises Ltd",2016-03-30,177.8
"7","Quick Heal Technologies Ltd",2016-02-18,255.8
"8","TeamLease Services Ltd",2016-02-12,890.25
"9","Precision Camshafts Ltd",2016-02-08,145.4
"10","Narayana Hrudayalaya Ltd",2016-01-06,305.2
"11","Alkem Laboratories Limited",2015-12-23,1195.5
"12","Dr. Lal PathLabs Limited",2015-12-23,954.5
"13","S H Kelkar & Company Ltd",2015-11-16,221.6
"14","Interglobe Aviation Ltd",2015-11-10,1048.35
"15","Coffee Day Enterprises Ltd",2015-11-02,264.8
"16","Prabhat Dairy Limited",2015-09-21,105.4
"17","Sadbhav Infrastructure Project Limited",2015-09-16,99.1
"18","Pennar Engineered Building Systems Ltd",2015-09-10,151
"19","Shree Pushkar Chemicals and Fertilisers Ltd",2015-09-10,126.1
"20","Navkar Corporation Limited",2015-09-09,176.4
"21","Power Mech Projects Ltd",2015-08-26,589.25
"22","Syngene International Ltd",2015-08-11,379.8
"23","Manpasand Beverages Ltd",2015-07-09,538.25
"24","PNC Infratech Limited",2015-05-26,536.5
"25","UFO Moviez Ltd",2015-05-14,525
"26","MEP Infrastructure Developers Ltd",2015-05-06,40.9
"27","VRL Logistics Ltd",2015-04-30,397.9
"28","Inox Wind Limited",2015-04-09,237.2
"29","Adlabs Entertainment Ltd",2015-04-06,80.2
"30","Ortel Communications Ltd",2015-03-19,186
"31","Monte Carlo Fashions Limited",2014-12-19,430.7
"32","Shemaroo Entertainment Ltd",2014-10-01,327.3
"33","Sharda Cropchem Ltd",2014-09-23,289.2
"34","Snowman Logistics Ltd",2014-09-12,57.85
"35","Wonderla Holidays Ltd",2014-09-05,378.4
"36","Engineers India Limited",2014-02-28,185.2
"37","Power Grid Corporation of India",2013-12-19,143.7
"38","Just Dial Ltd",2013-06-05,720.25
"39","Repco Home Finance Ltd",2013-04-01,650.3
"40","V-Mart Retail Ltd",2013-02-20,519
"41","Bharti Infratel Limited",2012-12-28,373.1
"42","PC Jeweller Ltd",2012-12-27,345
"43","Credit Analysis & Research Ltd",2012-12-26,1010.35
"44","Tara Jewels Limited",2012-12-06,41
"45","VKS Projects Ltd",2012-07-18,0.1
"46","Speciality Restaurants Ltd",2012-05-30,89.5
"47","Tribhovandas Bhimji Zaveri Ltd",2012-05-09,66.95
"48","National Buildings Construction Corporation Ltd",2012-04-12,978.3
"49","MT Educare Limited",2012-04-12,187.7
"50","Olympic Cards Ltd",2012-03-28,21.95
"51","Multi Commodity Exchange of India Ltd",2012-03-09,890.8
"52","Indo Thai Securities Limited",2011-11-02,23.9
"53","M and B Switchgears Ltd",2011-10-20,22.4
"54","Flexituff International Ltd",2011-10-19,201
"55","Taksheel Solutions Ltd",2011-10-19,NA
"56","Onelife Capital Advisors Ltd",2011-10-17,26.5
"57","Tijaria Polypipes Ltd",2011-10-14,6
"58","RDB Rasayans Ltd",2011-10-07,20.35
"59","Prakash Constrowell Ltd",2011-10-04,6.5
"60","PG Electroplast Limited",2011-09-26,125
"61","Vaswani Industries Ltd",2011-09-20,7.35
"62","SRS Limited",2011-09-16,11.09
"63","TD Power Systems Ltd",2011-09-08,226.8
"64","Brooks Laboratories Ltd",2011-09-05,80.7
"65","Tree House Education & Accessories Ltd",2011-08-26,74.2
"66","L&T Finance Holdings Limited",2011-08-12,74.1
"67","Inventure Growth & Securities Ltd",2011-08-04,17.07
"68","Bharatiya Global Infomedia Ltd",2011-07-28,5.8
"69","Readymade Steel India Ltd",2011-07-13,86.5
"70","Rushil Decor Ltd",2011-07-07,322.4
"71","Birla Pacific Medspa Ltd",2011-07-07,NA
"72","Timbor Home Limited",2011-06-22,NA
"73","VMS Industries Ltd",2011-06-14,18.4
"74","Power Finance Corporation Ltd",2011-05-27,164.95
"75","Aanjaneya Lifecare Ltd",2011-05-27,NA
"76","Sanghvi Forging & Engineering Ltd",2011-05-23,46.05
"77","Innoventive Industries Ltd",2011-05-13,NA
"78","Servalakshmi Paper Ltd",2011-05-12,NA
"79","Future Ventures India Ltd",2011-05-10,21.3
"80","Paramount Printpackaging Ltd",2011-05-09,1.05
"81","Muthoot Finance Ltd",2011-05-06,202.95
"82","Shilpi Cable Technologies Ltd",2011-04-08,83.8
"83","PTC India Financial Services Ltd",2011-03-30,40
"84","Lovable Lingeries Ltd",2011-03-24,248
"85","Sudar Garments Ltd",2011-03-11,3
"86","Fineotex Chemical Ltd",2011-03-11,31.15
"87","Acropetal Technologies Ltd",2011-03-10,2.8
"88","Omkar Speciality Chemicals Ltd",2011-02-10,182.7
"89","Tata Steel Ltd",2011-02-02,330.8
"90","Midvalley Entertainment Ltd",2011-01-27,NA
"91","C Mahendra Exports Ltd",2011-01-20,NA
"92","Shekhawati Poly-Yarn Ltd",2011-01-12,1.26
"93","Punjab & Sind Bank",2010-12-30,38.35
"94","Ravi Kumar Distilleries Ltd",2010-12-27,10.36
"95","A2Z Maintenance & Engineering Services Ltd",2010-12-23,24.05
"96","Claris Lifesciences Limited",2010-12-20,158.1
"97","MOIL Limited",2010-12-15,236.95
"98","Shipping Corporation of India Ltd",2010-12-15,73.75
"99","RPP Infra Projects Ltd",2010-12-06,156.9
"100","Power Grid Corporation of India Ltd",2010-11-25,143.7
"101","Gravita India Ltd",2010-11-16,23.9
"102","Coal India Limited",2010-11-04,283.95
"103","Prestige Estates Projects Ltd",2010-10-27,172.3
"104","Gyscoal Alloys Ltd",2010-10-27,43.7
"105","BS Transcomm Ltd",2010-10-27,NA
"106","Oberoi Realty Ltd",2010-10-20,277.35
"107","Commercial Engineers & Body Builders Co Ltd",2010-10-18,17.7
"108","Bedmutha Industries Ltd",2010-10-14,13.05
