"","LMID","LMName"
"1",12,"Kotak Mahindra Capital Company Limited"
"2",13,"UBS Securities India Private Limited"
"3",14,"ABN AMRO Securities (India) Private Limited"
"4",15,"Deutsche Equities India Private Limited"
"5",16,"Enam Securities Private Limited"
"6",17,"ICICI Securities Limited"
"7",18,"JM Financial Consultants Private Limited"
"8",19,"J.P. Morgan India Private Limited"
"9",20,"Macquarie India Advisory Services Private Limited"
"10",21,"SBI Capital Markets Limited"
"11",22,"BoA Merrill Lynch"
"12",23,"Citigroup Global Markets India Private Limited"
"13",24,"Keynote Corporate Services Ltd"
"14",25,"Almondz Global Securities Limited"
"15",26,"Saffron Capital Advisors Private Limited"
"16",27,"AllBank Finance Ltd"
"17",28,"Motilal Oswal Investments Advisors Pvt Ltd"
"18",29,"SPA Capital Advisors Ltd"
"19",30,"IDFC-SSKI Private Limited"
"20",31,"Morgan Stanley India Company Pvt Ltd"
"21",32,"Edelweiss Capital Limited"
"22",33,"Ashika Capital Ltd"
"23",34,"Anand Rathi Securities Limited"
"24",35,"Intensive Fiscal Services Private Limited"
"25",36,"SREI Capital Markets Ltd"
"26",37,"Centrum Capital Limited"
"27",38,"SSKI Corporate Finance Pvt Ltd"
"28",39,"Macquarie India Advisory Services Pvt Ltd"
"29",40,"IL&Fs Investsmart Securities Ltd"
"30",41,"Religare Securities Ltd"
"31",42,"Axis Bank Limited"
"32",43,"Collins Stewart Inga Private Limited"
"33",44,"UTI Securities Ltd"
"34",45,"NEXGEN Capitals Ltd"
"35",47,"IDBI Capital Market Services Limited"
"36",48,"BOB Capital Markets Limited"
"37",49,"Chartered Capital and Investment Limited"
"38",51,"Karvy Investor Services Limited"
"39",52,"CIL Securities Limited"
"40",53,"Khandwala Securities Limited"
"41",54,"Allianz Securities Limited"
"42",55,"Fortune Financial Services (India) Limited"
"43",58,"YES Bank Limited,"
"44",60,"RR Financial Consultants Limited"
"45",61,"Systematix Corporate Services Limited"
"46",62,"Vivro Financial Services Private Limited"
"47",65,"JM Morgan Stanley Private Limited"
"48",66,"A.K. Capital Services Limited"
"49",68,"PL Capital Markets Private Limited"
"50",69,"HSBC Securities & Capital Markets Pvt Ltd"
"51",70,"Antique Capital Markets Pvt Ltd"
"52",71,"India Infoline Limited"
"53",72,"Nomura Financial Advisory And Securities (India) P"
"54",73,"Comfort Securities Pvt Ltd"
"55",74,"Atherstone Capital Markets Limited"
"56",75,"Goldman Sachs (India) Securities Private Limited"
"57",76,"Hem Securities Limited"
"58",77,"Aryaman Financial Services limited"
"59",78,"RBS Equities (India) Ltd"
"60",79,"Standard Chartered Securities (India) Limited"
"61",80,"Indbank Merchant Banking Services Limited"
"62",81,"D and A Financial Services Private Ltd"
"63",82,"HDFC Bank Limited"
"64",83,"Onelife Capital Advisors Pvt Ltd"
"65",84,"Avendus Capital Pvt Ltd"
"66",85,"Indian Overseas Bank"
"67",86,"Arihant Capital Markets Ltd"
"68",88,"Corporate Strategic Allianz Ltd"
"69",89,"PNB Investment Services Ltd"
"70",90,"VC Corporate Advisors Pvt Ltd (VCAPL)"
"71",92,"Inventure Merchant Banker Services Pvt Ltd"
"72",93,"Barclays Securities (India) Private Limited"
"73",94,"Guiness Corporate Advisors Pvt Ltd"
"74",95,"Anand Rathi Advisors Ltd"
"75",96,"Sarthi Capital Advisors Pvt Limited"
"76",97,"KJMC Corporate Advisors (India) Limited"
"77",98,"Canara Bank Merchant Banking Division"
"78",101,"Basan Financial Services Limited"
"79",102,"Networth Stock Broking Ltd"
"80",104,"Sarthi Capital Advisors Private Limited"
"81",106,"Unicon Capital Services Private Ltd"
"82",107,"PANTOMATH CAPITAL ADVISORS PRIVATE LIMITED"
"83",110,"First Overseas Capital Limited"
"84",111,"Credit Suisse Securities (India) Private Limited"
"85",112,"Jefferies India Private Limited"
"86",113,"Axis Capital Limited"
"87",114,"IDFC Securities Limited"
"88",115,"Quintessence Enterprises Private Limited"
"89",116,"Choice Capital Advisors Pvt Ltd"
"90",117,"Elara Capital (India) Private"
