Date,Open,High,Low,Close,DMA7,DMA15,DMA50,DMA100,DMA200
2-Jan-07,13827.77,13980.54,13797.44,13942.24,13628.3,13532.54,13383.39,12676.89,11810.29
3-Jan-07,13969.45,14035.67,13897.42,14014.92,13714.3,13542.06,13401.96,12706.16,11825.98
4-Jan-07,14029.04,14060.35,13850.38,13871.71,13804.31,13583.09,13426.33,12734.86,11840.56
5-Jan-07,13768.79,13971.82,13763.39,13860.52,13861.45,13641.54,13452.44,12762.08,11855.27
8-Jan-07,13855.89,13855.89,13599.87,13652.15,13883.19,13686.82,13475.14,12788.76,11869.25
9-Jan-07,13650.96,13748.42,13493.38,13566.33,13853.54,13697.82,13499.88,12812.15,11882.81
10-Jan-07,13569.57,13569.57,13336.52,13362.16,13813.54,13694.6,13518.96,12833.33,11894.81
11-Jan-07,13331.38,13667.8,13303.22,13630.71,13752.86,13670.01,13532.15,12852.18,11907.5
12-Jan-07,13729.07,14070.88,13729.07,14056.53,13708.36,13686.59,13538.91,12873.83,11922.28
15-Jan-07,14110.44,14202.12,14103.12,14129.64,13714.3,13734.34,13552.28,12899.28,11936.94
16-Jan-07,14146,14211.15,14070.65,14114.73,13751.15,13784,13572.75,12925.55,11950.91
17-Jan-07,14116.25,14185.12,14089.63,14131.34,13787.46,13826.86,13593.52,12952.63,11965.1
18-Jan-07,14165.77,14325.92,14140.35,14217.75,13855.92,13855.06,13613.2,12978.62,11978.3
19-Jan-07,14271.24,14300.11,14067.52,14182.71,13948.98,13878.93,13632.09,13005.08,11990.96
22-Jan-07,14217.8,14259.07,14111.75,14209.24,14066.2,13901.36,13653.31,13030.71,12003.21
23-Jan-07,14212.12,14212.12,14025.74,14041.24,14148.85,13929.51,13675.52,13055.74,12015.4
24-Jan-07,14069.61,14156.46,14043.54,14110.46,14146.66,13936.11,13696.95,13078.91,12027.58
25-Jan-07,14151.62,14307.19,14115.4,14282.72,14143.92,13942.48,13712.12,13103.02,12042.15
29-Jan-07,14306.97,14316.54,14185.92,14211.96,14167.92,13969.88,13726.35,13128.07,12056.95
31-Jan-07,14219.38,14269.31,14045.61,14090.92,14179.44,13993.31,13743.49,13151.05,12069.64
1-Feb-07,14124.36,14278.08,14109.91,14267.18,14161.32,14022.56,13758.34,13172.91,12081.81
2-Feb-07,14293.11,14462.77,14293.11,14403.77,14173.39,14069.29,13770.04,13196.25,12094.28
5-Feb-07,14432.09,14526.51,14372.36,14515.9,14201.18,14138.73,13786.8,13221.75,12106.6
6-Feb-07,14541.24,14564.8,14452.78,14478.19,14268.99,14197.74,13806.26,13247.72,12118.78
7-Feb-07,14493.56,14663.26,14478.45,14643.13,14321.52,14225.85,13824.24,13277,12132.35
