RegID,RegistrarName
1,Link Intime India Private Ltd
2,Karvy Computershare Private Limited
3,Bigshare Services Pvt. Ltd
4,Aarthi Consultansts Pvt Ltd.
5,Enam Securities Private Limited
6,Cameo Corporate Services Limited
7,Ankit Consultancy Private Limited
8,Mondkar Computers Private Limited
9,Adroit Corporate Services Pvt Ltd
10,S.K.D.C Consultants Limited
11,Datamatics Financial Services Ltd
46,Niche Technologies Pvt. Ltd
50,MAS Services Limited
56,Alankit Assignments Ltd
57,Sharex Dynamic (India) Pvt Ltd
59,"Sharepro Services Private Limited,"
63,Beetal Financial & Computer Services (P) Limited
64,Maheshwari Datamatics Pvt. Ltd
67,Alpha Systems Private Limited
87,Purva Sharegistry India Pvt Ltd
91,CB Management Services (P) Limited
99,Skyline Financial Services Private Ltd
100,Satellite Corporate Services Private Limited
103,RCMC Share Registry Private Limited
105,MCS Limited
108,S.K. Infosolutions Private Limited
109,Universal Capital Securities Pvt. Ltd
