"","RegistrarName","IssuerCompany"
"1","Link Intime India Private Ltd","Sagardeep Alloys Ltd IPO"
"2","Link Intime India Private Ltd","Thyrocare Technologies Ltd IPO"
"3","Link Intime India Private Ltd","Infibeam Incorporation Ltd IPO"
"4","Link Intime India Private Ltd","Quick Heal Technologies Ltd IPO"
"5","Link Intime India Private Ltd","Precision Camshafts Ltd IPO"
"6","Link Intime India Private Ltd","Dr. Lal PathLabs Limited IPO"
"7","Link Intime India Private Ltd","Alkem Laboratories Limited IPO"
"8","Link Intime India Private Ltd","S H Kelkar & Company Ltd IPO"
"9","Link Intime India Private Ltd","Coffee Day Enterprises Ltd IPO"
"10","Link Intime India Private Ltd","Sadbhav Infrastructure Project Limited IPO"
"11","Link Intime India Private Ltd","Navkar Corporation Limited IPO"
"12","Link Intime India Private Ltd","Pecos Hotels and Pubs Ltd IPO"
"13","Link Intime India Private Ltd","PNC Infratech Limited IPO"
"14","Link Intime India Private Ltd","MEP Infrastructure Developers Ltd IPO"
"15","Link Intime India Private Ltd","Inox Wind Limited IPO"
"16","Link Intime India Private Ltd","Adlabs Entertainment Ltd IPO"
"17","Link Intime India Private Ltd","Monte Carlo Fashions Limited IPO"
"18","Link Intime India Private Ltd","Momai Apparels Limited IPO"
"19","Link Intime India Private Ltd","Shemaroo Entertainment Ltd IPO"
"20","Link Intime India Private Ltd","Snowman Logistics Ltd IPO"
"21","Link Intime India Private Ltd","Vishal Fabrics Ltd IPO"
"22","Link Intime India Private Ltd","Tarini International Ltd IPO"
"23","Link Intime India Private Ltd","Women's Next Loungeries Ltd IPO"
"24","Link Intime India Private Ltd","Polymac Thermoformers Ltd IPO"
"25","Link Intime India Private Ltd","MITCON Consultancy & Engineering Services Ltd IPO"
"26","Link Intime India Private Ltd","Ashapura Intimates Fashion Ltd IPO"
"27","Link Intime India Private Ltd","Tara Jewels Limited IPO"
"28","Link Intime India Private Ltd","Speciality Restaurants Ltd IPO"
"29","Link Intime India Private Ltd","MT Educare Limited IPO"
"30","Link Intime India Private Ltd","Flexituff International Ltd IPO"
"31","Link Intime India Private Ltd","RDB Rasayans Ltd IPO"
"32","Link Intime India Private Ltd","TD Power Systems Ltd IPO"
"33","Link Intime India Private Ltd","Brooks Laboratories Ltd IPO"
"34","Link Intime India Private Ltd","Tree House Education & Accessories Ltd IPO"
"35","Link Intime India Private Ltd","Inventure Growth & Securities Ltd IPO"
"36","Link Intime India Private Ltd","Aanjaneya Lifecare Ltd IPO"
"37","Link Intime India Private Ltd","Vaswani Industries Ltd IPO"
"38","Link Intime India Private Ltd","Servalakshmi Paper Ltd IPO"
"39","Link Intime India Private Ltd","Future Ventures India Ltd IPO"
"40","Link Intime India Private Ltd","Muthoot Finance Ltd IPO"
"41","Link Intime India Private Ltd","Lovable Lingeries Ltd IPO"
"42","Link Intime India Private Ltd","Sudar Garments Ltd IPO"
"43","Link Intime India Private Ltd","Tata Steel Ltd FPO"
"44","Link Intime India Private Ltd","C Mahendra Exports Ltd IPO"
"45","Link Intime India Private Ltd","Punjab & Sind Bank IPO"
"46","Link Intime India Private Ltd","A2Z Maintenance & Engineering Services Ltd IPO"
"47","Link Intime India Private Ltd","Claris Lifesciences Limited IPO"
"48","Link Intime India Private Ltd","Coal India Limited IPO"
"49","Link Intime India Private Ltd","Gyscoal Alloys Ltd IPO"
"50","Link Intime India Private Ltd","Prestige Estates Projects Ltd IPO"
"51","Link Intime India Private Ltd","Oberoi Realty Ltd IPO"
"52","Link Intime India Private Ltd","Sea TV Network Ltd IPO"
"53","Link Intime India Private Ltd","Ashoka Buildcon Ltd IPO"
"54","Link Intime India Private Ltd","Tecpro Systems Ltd IPO"
"55","Link Intime India Private Ltd","Orient Green Power Company Ltd IPO"
"56","Link Intime India Private Ltd","Eros International Media Ltd IPO"
"57","Link Intime India Private Ltd","Career Point Infosystems Ltd IPO"
"58","Link Intime India Private Ltd","Microsec Financial Services Ltd IPO"
"59","Link Intime India Private Ltd","Indosolar Ltd IPO"
"60","Link Intime India Private Ltd","Engineers India Ltd FPO"
"61","Link Intime India Private Ltd","Technofab Engineering Ltd IPO"
"62","Link Intime India Private Ltd","Parabolic Drugs Limited IPO"
"63","Link Intime India Private Ltd","SJVN Ltd (Satluj Jal Vidyut Nigam Ltd) IPO"
"64","Link Intime India Private Ltd","Mandhana Industries Limited IPO"
"65","Link Intime India Private Ltd","Talwalkars Better value Fitness Ltd IPO"
"66","Link Intime India Private Ltd","Intrasoft Technologies Limited IPO"
"67","Link Intime India Private Ltd","Shree Ganesh Jewellery House Ltd IPO"
"68","Link Intime India Private Ltd","Persistent Systems Limited IPO"
"69","Link Intime India Private Ltd","Pradip Overseas Limited IPO"
"70","Link Intime India Private Ltd","IL&FS Transportation Networks Ltd IPO"
"71","Link Intime India Private Ltd","United Bank of India IPO"
"72","Link Intime India Private Ltd","Man Infraconstruction Ltd IPO"
"73","Link Intime India Private Ltd","Hathway Cable & Datacom Ltd IPO"
"74","Link Intime India Private Ltd","D B Realty Limited IPO"
"75","Link Intime India Private Ltd","Aqua Logistics Ltd IPO"
"76","Link Intime India Private Ltd","Syncom Healthcare Limited IPO"
"77","Link Intime India Private Ltd","Jubilant Foodworks Ltd IPO"
"78","Link Intime India Private Ltd","MBL Infrastructures Ltd IPO"
"79","Link Intime India Private Ltd","Euro Multivision Limited IPO"
"80","Link Intime India Private Ltd","Globus Spirits Limited IPO"
"81","Link Intime India Private Ltd","Excel Infoways Limited IPO"
"82","Link Intime India Private Ltd","20 Microns Limited IPO"
"83","Link Intime India Private Ltd","Resurgere Mines & Minerals India Ltd IPO"
"84","Link Intime India Private Ltd","Austral Coke & Projects Ltd IPO"
"85","Link Intime India Private Ltd","Vishal Information Technologies Ltd IPO"
"86","Link Intime India Private Ltd","First Winner Industries Limited IPO"
"87","Link Intime India Private Ltd","Sejal Architectural Glass Ltd IPO"
"88","Link Intime India Private Ltd","Niraj Cement Structurals Ltd IPO"
"89","Link Intime India Private Ltd","Gokul Refoils and Solvent Limited IPO"
"90","Link Intime India Private Ltd","Gammon Infrastructure Projects Ltd IPO"
"91","Link Intime India Private Ltd","V-Guard Industries Limited IPO"
"92","Link Intime India Private Ltd","Tulsi Extrusions Limited IPO"
"93","Link Intime India Private Ltd","KNR Constructions Limited IPO"
"94","Link Intime India Private Ltd","Cords Cable Industries Limited IPO"
"95","Link Intime India Private Ltd","Future Capital Holdings Ltd IPO"
"96","Link Intime India Private Ltd","Precision Pipes and Profiles Company Ltd IPO"
"97","Link Intime India Private Ltd","Porwal Auto Components Limited IPO"
"98","Link Intime India Private Ltd","Manaksia Limited IPO"
"99","Link Intime India Private Ltd","BGR Energy Systems Limited IPO"
"100","Link Intime India Private Ltd","Transformers and Rectifiers India Ltd IPO"
"101","Link Intime India Private Ltd","Jyothi Laboratories Limited IPO"
"102","Link Intime India Private Ltd","Kaushalya Infrastructure Dev Corp Ltd IPO"
"103","Link Intime India Private Ltd","Renaissance Jewellery Limited IPO"
"104","Link Intime India Private Ltd","Edelweiss Capital Limited IPO"
"105","Link Intime India Private Ltd","Mundra Port and Special Economic Zone Ltd IPO"
"106","Link Intime India Private Ltd","Barak Valley Cements Ltd IPO"
"107","Link Intime India Private Ltd","Dagger Forst Tools Ltd FPO"
"108","Link Intime India Private Ltd","Motilal Oswal Financial Services Ltd IPO"
"109","Link Intime India Private Ltd","Puravankara Projects Limited IPO"
"110","Link Intime India Private Ltd","TAKE Solutions Limited IPO"
"111","Link Intime India Private Ltd","SEL Manufacturing Company Ltd IPO"
"112","Link Intime India Private Ltd","Asian Granito India Ltd IPO"
"113","Link Intime India Private Ltd","Central Bank of India IPO"
"114","Link Intime India Private Ltd","Omnitech InfoSolutions Limited IPO"
"115","Link Intime India Private Ltd","Omaxe Limited IPO"
"116","Link Intime India Private Ltd","Allied Digital Services Limited IPO"
"117","Link Intime India Private Ltd","Ankit Metal & Power Ltd IPO"
"118","Link Intime India Private Ltd","Vishal Retail Ltd IPO"
"119","Link Intime India Private Ltd","Meghmani Organics Limited IPO"
"120","Link Intime India Private Ltd","Time Technoplast Limited IPO"
"121","Link Intime India Private Ltd","Asahi Songwon Colors Ltd IPO"
"122","Link Intime India Private Ltd","MIC Electronics Limited IPO"
"123","Link Intime India Private Ltd","Bhagwati Banquets And Hotels Ltd IPO"
"124","Link Intime India Private Ltd","Fortis Healthcare Ltd IPO"
"125","Link Intime India Private Ltd","Vimal Oil and Foods Limited FPO"
"126","Link Intime India Private Ltd","Orbit Corporation Limited IPO"
"127","Link Intime India Private Ltd","ICRA Limited IPO"
"128","Link Intime India Private Ltd","Gremach Infrastructure Ltd IPO"
"129","Link Intime India Private Ltd","Abhishek Mills Ltd IPO"
"130","Link Intime India Private Ltd","Page Industries Ltd (Jockey India) IPO"
"131","Link Intime India Private Ltd","Jagjanani Textiles Limited IPO"
"132","Link Intime India Private Ltd","Broadcast Initiatives Limited IPO"
"133","Link Intime India Private Ltd","Euro Ceramics Limited IPO"
"134","Link Intime India Private Ltd","Transwarranty Finance Ltd IPO"
"135","Link Intime India Private Ltd","Cinemax India Ltd IPO"
"136","Link Intime India Private Ltd","House of Pearl Fashions Ltd IPO"
"137","Link Intime India Private Ltd","Akruti Nirman Limited IPO"
"138","Link Intime India Private Ltd","Global Broadcast News Ltd IPO"
"139","Link Intime India Private Ltd","Autoline Industries Limited IPO"
