Year Results MVP 
2015 Royals 4, Mets 1  Salvador Perez  
2014 Giants 4, Royals 3  Madison Bumgarner  
2013 Red Sox 4, Cardinals 2 David Ortiz 
2012 Giants 4, Tigers 0 Pablo Sandoval 
2011 Cardinals 4, Rangers 3 David Freese 
2010 Giants 4, Rangers 1 Edgar Renteria 
2009 Yankees 4, Phillies 2 Hideki Matsui 
2008 Philadelphia 4, Tampa Bay 1 Cole Hamels 
2007 Boston 4, Colorado 0 Mike Lowell 
2006 St. Louis 4, Detroit 1 David Eckstein 
2005 Chi. White Sox 4, Houston 0 Jermaine Dye 
2004 Boston 4, St. Louis 0 Manny Ramirez 
2003 Florida 4, NY Yankees 2 Josh Beckett 
2002 Anaheim 4, San Francisco 3 Troy Glaus 
2001 Arizona 4, NY Yankees 3 Schilling/Johnson 
2000 NY Yankees 4, NY Mets 1 Derek Jeter 
  
Year Results MVP 
1999 NY Yankees 4, Atlanta 0 Mariano Rivera 
1998 NY Yankees 4, San Diego 0 Scott Brosius 
1997 Florida 4, Cleveland 3 Livan Hernandez 
1996 NY Yankees 4, Atlanta 2 John Wetteland 
1995 Atlanta 4, Cleveland 2 Tom Glavine 
1994 Not Held N/A 
1993 Toronto 4, Philadelphia 2 Paul Molitor 
1992 Toronto 4, Atlanta 2 Pat Borders 
1991 Minnesota 4, Atlanta 3 Jack Morris 
1990 Cincinnati 4, Oakland 0 Jose Rijo 
 

Year Results MVP 
1989 Oakland 4, San Francisco 0 Dave Stewart 
1988 Los Angeles 4, Oakland 1 Orel Hershiser 
1987 Minnesota 4, St. Louis 3 Frank Viola 
1986 NY Mets 4, Boston 3 Ray Knight 
1985 Kansas City 4, St. Louis 3 Bret Saberhagen 
1984 Detroit 4, San Diego 1 Alan Trammell 
1983 Baltimore 4, Philadelphia 1 Rick Dempsey 
1982 St. Louis 4, Milwaukee 3 Darrell Porter 
1981 Los Angeles 4, NY Yankees 2 Guerrero/Cey/Yeager 
1980 Philadelphia 4, Kansas City 2 Mike Schmidt 
  
Year Results MVP 
1979 Pittsburgh 4, Baltimore 3 Willie Stargell 
1978 NY Yankees 4, Los Angeles 2 Bucky Dent 
1977 NY Yankees 4, Los Angeles 2 Reggie Jackson 
1976 Cincinnati 4, NY Yankees 0 Johnny Bench 
1975 Cincinnati 4, Boston 3 Pete Rose 
1974 Oakland 4, Los Angeles 1 Rollie Fingers 
1973 Oakland 4, NY Mets 3 Reggie Jackson 
1972 Oakland 4, Cincinnati 3 Gene Tenace 
1971 Pittsburgh 4, Baltimore 3 Roberto Clemente 
1970 Baltimore 4, Cincinnati 1 Brooks Robinson 
 

Year Results MVP 
1969 NY Mets 4, Baltimore 1 Donn Clendenon 
1968 Detroit 4, St. Louis 3 Mickey Lolich 
1967 St. Louis 4, Boston 3 Bob Gibson 
1966 Baltimore 4, Los Angeles 0 Frank Robinson 
1965 Los Angeles 4, Minnesota 3 Sandy Koufax 
1964 St. Louis 4, NY Yankees 3 Bob Gibson 
1963 Los Angeles 4, NY Yankees 0 Sandy Koufax 
1962 NY Yankees 4, San Francisco 3 Ralph Terry 
1961 NY Yankees 4, Cincinnati 1 Whitey Ford 
1960 Pittsburgh 4, NY Yankees 3 Bobby Richardson 
  
Year Results MVP 
1959 Los Angeles 4, Chicago White Sox 2 Larry Sherry 
1958 NY Yankees 4, Mil. Braves 3 Bob Turley 
